date,time,DOY,Pa_1_1_1,Ta_1_1_1,Ta_1_3_1,RH_1_3_1,RH_1_1_1,Ta_1_5_1,Ta_1_4_1,Ta_1_3_2,Ta_1_2_1,MWS_1_4_1,WD_1_4_1,MWS_1_1_1,WD_1_1_1,P_1_1_1,SWin_1_1_1,SWout_1_1_1,LWin_1_1_1,LWout_1_1_1,Rn_1_1_1,Ts_1_6_1,Ts_1_7_1,Ts_1_8_1,Ts_1_9_1,Ts_1_10_1,Ts_1_11_1,Ts_1_12_1,SWC_1_6_1,SWC_1_8_1,SWC_1_9_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[Pa],[K],[K],[%],[%],[K],[K],[K],[K],[m/s],[Degrees_past_North],[m/s],[Degrees_past_North],[m],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[K],[K],[K],[K],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3]
2015-07-14,00:00,195.0,100441.0,287.837,286.94,60.4767,56.4967,286.593,286.757,287.237,288.06,2.33228,82.9363,4.83362,83.4139,0.0,19.8733,3.5,311.833,371.067,-42.86,287.92,280.503,279.187,275.26,272.877,272.17,270.93,0.0919333,0.484267,0.6115
2015-07-14,00:30,195.0208,100443.0,286.643,285.52,67.7933,62.11,283.323,284.747,285.623,286.72,1.62842,17.8218,3.8648,69.5185,0.0,10.7933,0.82,309.97,357.877,-37.9267,287.467,280.193,279.083,275.27,272.873,272.17,270.93,0.0923,0.484367,0.6114
2015-07-14,01:00,195.0416,100426.0,285.863,283.91,70.1033,61.17,281.943,282.89,284.06,285.887,1.62154,33.6343,3.99309,94.5099,0.0,5.18667,0.0,304.773,350.17,-40.2167,286.82,279.817,278.97,275.277,272.87,272.163,270.923,0.0926,0.484567,0.611433
2015-07-14,01:30,195.0624,100421.0,284.593,281.567,81.1133,66.02,279.853,280.803,282.017,284.93,1.42877,308.6,2.81599,315.117,0.0,5.36333,0.0,300.11,342.257,-36.7767,286.243,279.47,278.85,275.287,272.87,272.17,270.93,0.0929,0.484733,0.611467
2015-07-14,02:00,195.0833,100405.0,284.71,280.973,82.3,62.4767,277.38,279.853,281.707,285.167,1.15782,10.5315,2.60153,21.9839,0.0,8.59333,1.91,299.837,336.567,-30.0433,285.62,279.12,278.73,275.29,272.87,272.17,270.93,0.0932,0.4849,0.611433
2015-07-14,02:30,195.1041,100405.0,284.73,282.137,73.03,59.5433,277.963,280.837,282.903,285.18,1.07241,354.072,2.81385,45.9897,0.0,11.8433,2.08667,298.343,335.53,-27.4333,285.05,278.797,278.597,275.287,272.87,272.17,270.93,0.0936333,0.4851,0.611367
2015-07-14,03:00,195.1249,100408.0,284.177,281.65,73.2667,60.08,276.757,280.253,282.403,284.407,0.893368,48.2862,2.95137,57.291,0.0,18.3333,2.68667,295.95,333.177,-21.58,284.51,278.503,278.467,275.287,272.873,272.17,270.93,0.094,0.4854,0.6113
2015-07-14,03:30,195.1458,100404.0,283.787,282.013,69.8267,59.44,278.88,280.953,282.39,283.857,0.891168,32.3805,2.91926,58.4974,0.0,32.3433,6.33667,295.523,334.733,-13.2133,284.04,278.253,278.327,275.28,272.877,272.17,270.93,0.0943,0.4857,0.6113
2015-07-14,04:00,195.1666,100397.0,283.99,282.743,65.3467,58.2367,282.11,282.483,282.973,284.057,1.34995,79.6227,3.56577,84.4059,0.0,47.7567,10.93,295.11,345.457,-13.52,283.763,278.107,278.193,275.267,272.87,272.17,270.93,0.0947,0.4859,0.611467
