file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--
A20151942330.slt,2015-07-14,00:00,195.0,1,36000,36000,-0.0341192,5,-32.9706,5,13.5489,5,1.31025,5,0.304981,5,0.0292864,5,-3.77383,2.01297,0.170407,0.0453115,0.0019238,-3.87609e-11,-1.02764e-12,-1.94194e-13,16.4173,391.152,395.251,4.45,0,435.259,10.3703,10.479,4.75,0,0.0822516,1.9597,1.98023,4.5,0,288.921,287.837,100441.0,1.21092,1011.07,0.0238257,0.0197628,0.00784336,1041.89,1666.13,0.00647718,62.5331,624.25,280.729,-2.28615,-0.356893,0.168149,2.31994,2.03135e-13,-2.36098e-15,2.31994,4.61734,262.999,188.873,4.15642,-9999,0.167857,0.306156,12.5526,0.355125,-2.43346,-0.160432,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0334291,1.02064,-31.1065,1.04444,9.33313,1.4517,0.938779,1.3957,0.210086,1.4517,0.0200832,1.45825,800000009,800000009,800000009,800000009,800000009,800000009,800000019,800100019,80000,80000,80,81,0,0,3,0,0,0,0,0.298546,0.279938,0.0338266,0.168977,3.89068,0.121426,0.000754343,-0.0254072,0.022367,0.00500545,0.000478496,15.9804,410.372
A20151950000.slt,2015-07-14,00:30,195.021,1,36000,36000,-0.0230095,5,-28.7188,5,-18.325,6,2.61158,5,-0.412019,6,0.0343101,5,-4.00206,1.09226,0.298116,0.0245584,0.00702032,1.8122e-10,4.87122e-12,9.30049e-13,16.5952,393.745,397.957,4.45,0,446.082,10.5839,10.6972,33.55,0,0.0851693,2.02076,2.04238,4.6,0,287.815,286.643,100443.0,1.21589,1011.16,0.0237264,-0.0266988,0.0080384,1063.37,1542.07,0.00661113,68.957,478.706,281.028,-1.53858,-0.533485,0.160297,1.63631,-4.41975e-15,1.092e-14,1.63631,3.32737,249.322,199.123,5.62186,-9999,0.137565,0.141306,7.93247,0.561962,1.56719,-0.169803,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0225106,1.02216,-28.2301,1.04698,-11.7204,1.56352,1.72307,1.51566,-0.263521,1.56352,0.0216843,1.58226,800000009,800000009,800000009,800000009,800000009,800000009,811100019,811110019,80000,80000,80,81,0,1,8,0,0,0,0,0.170163,0.101466,0.0109828,0.333604,5.02921,0.108323,0.000476331,-0.0229615,0.0408822,-0.00625242,0.00051449,16.1406,425.68
A20151950030.slt,2015-07-14,01:00,195.042,1,36000,36000,-0.277573,5,-160.091,6,23.6247,5,26.853,6,0.53078,5,1.03942,6,-2.62224,-3.41252,0.409823,-0.0766696,0.0028286,-1.17436e-09,-2.93182e-11,-6.04558e-12,16.788,397.301,401.281,4.4,0,419.118,9.91876,10.0181,5.45,0,0.0864245,2.0453,2.06579,4.35,0,287.208,285.863,100426.0,1.21931,1010.78,0.0236658,0.0343946,0.00755251,996.372,1465.44,0.00619408,67.9913,469.067,280.076,-1.43579,-0.54983,0.174517,1.54734,-2.17227e-13,-6.99522e-14,1.54734,3.20811,255.589,200.954,6.47587,-9999,0.477123,1.12729,59.357,0.0751007,-6.77642,-0.272249,0,152.952,-23.2111,52.5036,130.741,199.389,279.646,418.96,-0.275424,1.0078,-156.575,1.01804,19.5927,1.20579,22.477,1.19469,0.440191,1.20579,0.859265,1.20967,800000009,800000009,800000009,800000009,800000009,800000009,811100019,811110019,80000,80000,80,81,118,0,7,0,0,0,1,2.14271,0.0842927,0.0275812,0.930785,18.6108,0.0519785,0.0201654,-0.127044,0.531936,0.0104175,0.0203352,16.4551,385.742
A20151950100.slt,2015-07-14,01:30,195.062,1,36000,36000,-0.131477,5,116.156,6,-51.6089,6,-19.4488,6,-1.15809,6,-0.877438,6,-4.28826,-0.0113075,0.37004,-0.000253738,0.0246827,1.14058e-09,2.82414e-11,6.43201e-12,16.9977,400.497,404.509,4.25,1,420.873,9.91657,10.0159,3.3,0,0.0958542,2.25851,2.28113,4.25,1,286.46,284.593,100421.0,1.22469,1010.75,0.0235619,-0.0750445,0.00758414,996.099,1347.81,0.0061927,73.9048,351.716,280.072,0.63616,-0.21449,0.130952,0.683998,-4.68727e-14,6.7102e-14,0.683998,2.63839,120.411,341.368,11.0374,-9999,0.327652,0.421916,-26.492,-0.168268,-2.25069,0.286391,0,112.687,-17.1007,38.6819,96.3234,146.899,206.028,308.668,-0.131135,1.00261,112.855,1.00736,-47.0245,1.09749,-17.7507,1.09567,-1.05522,1.09749,-0.798682,1.09861,800000009,800000009,800000009,800000009,800000009,800110009,801110019,811110019,80000,80000,80,81,0,0,7,0,0,0,0,0.447018,0.368753,0.0280623,0.888056,22.8581,0.0727106,0.0388776,0.0911703,-0.41824,-0.024863,-0.0188185,16.7829,370.307
A20151950130.slt,2015-07-14,02:00,195.083,1,36000,36000,-0.00363061,5,2.52515,6,2.40909,6,-0.16587,5,0.0540655,6,0.0141232,5,0.393678,-2.50729,-0.351277,-0.0562694,-0.0178841,-8.04034e-11,-1.90766e-12,-4.2561e-13,16.8592,397.461,401.245,3.15,0,400.004,9.43025,9.52003,43.6,0,0.089243,2.10394,2.12397,12.85,0,286.446,284.71,100405.0,1.22421,1010.48,0.0235754,0.00350344,0.00720807,947.095,1358.26,0.00588792,69.7285,411.167,279.34,-0.301713,-0.708187,0.138618,0.782161,4.90423e-14,-4.76911e-15,0.782161,1.73243,201.653,246.924,10.2081,-9999,0.0544579,0.0790078,-5.59406,-0.796872,1.04818,0.0374837,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00362072,1.00273,2.6518,1.0077,2.31144,1.04225,-0.159489,1.04001,0.0518741,1.04225,0.0135383,1.0432,800000009,800010009,800000009,800000009,800000009,800100019,811110019,811110019,80000,80000,80,81,0,0,20,0,0,0,3,0.0202686,0.134297,0.00344959,0.113462,4.16417,0.0456519,0.00330513,0.00214366,-0.00376002,0.00122295,0.00031917,17.2153,299.586
A20151950200.slt,2015-07-14,02:30,195.104,1,36000,36000,-0.0094091,5,-6.71368,5,3.55899,5,-0.311429,5,0.0798735,5,0.0122552,5,0.067478,-2.25003,0.0148599,-0.0504968,-0.00838621,-7.30566e-12,-1.6526e-13,-3.73278e-14,16.8634,397.59,401.198,7.1,0,381.464,8.99379,9.07541,3.2,0,0.0861624,2.03145,2.04989,4.55,0,286.242,284.73,100405.0,1.22433,1010.24,0.023577,0.0051758,0.00687398,903.261,1360.06,0.00561448,66.4133,456.799,278.655,-0.873884,-0.818474,0.150579,1.20675,-2.38883e-14,-4.33226e-16,1.20675,2.05689,226.391,223.125,7.1681,-9999,0.0876647,0.0395237,8.77639,0.507925,-1.8864,-0.0619173,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00925201,1.01698,-6.34252,1.03625,2.58981,1.37423,-0.231833,1.34333,0.0581224,1.37423,0.00886202,1.38289,800000009,800010009,800000009,800000009,800000009,800100009,801100019,811110019,80000,80000,80,80,0,0,2,0,0,0,0,0.0291907,0.0427633,0.00709326,0.073684,4.33069,0.0380227,0.0013141,-0.00512789,-0.00546595,0.00137035,0.00020894,17.5984,236.779
A20151950230.slt,2015-07-14,03:00,195.125,1,36000,36000,-0.00358161,5,1.20661,7,2.47072,5,-0.774783,6,0.0554204,5,-0.0247118,6,-1.87049,-1.1595,0.495258,-0.0260086,0.0216909,1.39273e-10,3.03921e-12,7.68885e-13,17.0783,401.862,405.417,2.7,0,372.683,8.76943,8.84702,4.8,0,0.0942846,2.21857,2.23819,2.35,0,285.559,284.177,100408.0,1.22686,1010.1,0.0235305,0.00359124,0.00671575,880.754,1311.08,0.00547395,67.1779,430.323,278.292,-1.24925,-0.804655,0.155041,1.49403,7.61895e-14,8.15494e-15,1.49403,2.21472,236.869,212.786,5.95651,-9999,0.0540309,0.031057,-11.4327,-0.389912,0.488362,0.0180204,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00356773,1.00389,1.33121,1.01083,2.2504,1.0979,-0.708842,1.09303,0.0504784,1.0979,-0.0224769,1.09943,800000009,800110009,800000009,800000009,800000009,800000009,811110019,811110019,80000,80000,80,80,0,0,2,0,0,0,0,0.032845,0.0266434,0.00262549,0.0658323,5.37901,0.0330447,0.00858017,0.0010742,-0.0166794,0.00118778,-0.000528893,17.1334,301.635
A20151950300.slt,2015-07-14,03:30,195.146,1,36000,36000,-0.0106148,5,-12.368,5,17.2607,6,2.53534,5,0.387027,6,0.157462,5,-1.32004,-1.66513,0.571713,-0.0373363,0.0366224,-1.05655e-10,-2.19415e-12,-6.58174e-13,17.3107,406.787,410.253,4.6,0,359.493,8.44779,8.51976,42.0,0,0.107836,2.53406,2.55565,4.8,0,285.009,283.787,100404.0,1.22864,1009.92,0.0234992,0.0250794,0.00647807,848.417,1277.49,0.00527254,66.4127,429.076,277.756,-1.31319,-0.81153,0.169704,1.55301,-7.04047e-14,-6.10347e-15,1.55301,2.68421,238.175,211.715,6.27349,-9999,0.0929486,0.0655018,5.67778,0.785122,-0.716541,-0.107237,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0103516,1.02543,-11.134,1.05348,10.7247,1.60944,1.63553,1.55017,0.240474,1.60944,0.096837,1.62605,800000009,800000009,800000009,800000009,800000009,800100009,811110019,811110019,80000,80000,80,80,0,0,13,0,0,0,0,0.0619766,0.0629518,0.00607502,0.151414,13.5096,0.086322,0.0444143,-0.00897303,0.0384335,0.00565093,0.00227559,16.7941,347.551
