date,time,DOY,Pa_2_1_1,Ta_2_1_1,Ta_2_2_1,RH_2_2_1,RH_2_1_1,MWS_2_1_1,WD_2_1_1,P_2_1_1,SWin_2_1_1,SWout_2_1_1,LWin_2_1_1,LWout_2_1_1,Rn_2_1_1,Ts_2_3_1,Ts_2_4_1,Ts_2_5_1,Ts_2_6_1,Ts_2_7_1,Ts_2_8_1,Ts_2_9_1,SWC_2_4_1,SWC_2_6_1,SWC_2_7_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[Pa],[K],[K],[%],[%],[m/s],[Degrees_past_North],[m],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[K],[K],[K],[K],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3]
2015-07-14,00:00,195.0,100519.0,288.093,287.107,59.0067,54.6567,5.35635,77.2695,0.0,22.3833,5.60333,311.01,372.723,-44.94,287.063,282.28,276.997,274.3,272.843,272.147,270.673,0.1949,0.620933,0.6164
2015-07-14,00:30,195.0208,100519.0,287.473,286.083,63.2733,56.98,4.8282,67.6952,0.0,11.1633,1.88333,310.043,364.86,-45.5367,286.48,281.573,276.95,274.303,272.84,272.15,270.68,0.194967,0.620733,0.6163
2015-07-14,01:00,195.0416,100507.0,286.147,284.43,66.7833,59.0933,4.23345,65.4337,0.0,5.27,0.0,303.91,354.203,-45.02,285.7,279.977,276.887,274.31,272.843,272.15,270.68,0.194933,0.620733,0.616233
2015-07-14,01:30,195.0624,100500.0,284.67,282.123,76.93,64.8567,2.99854,299.421,0.0,5.08333,0.0,299.177,347.8,-43.54,284.9,278.823,276.817,274.31,272.843,272.15,270.68,0.195,0.620767,0.6163
2015-07-14,02:00,195.0833,100483.0,284.99,281.407,79.41,61.31,2.55757,5.35938,0.0,8.63,1.19667,298.69,342.457,-36.34,284.053,277.67,276.74,274.31,272.843,272.15,270.68,0.195,0.620833,0.616167
2015-07-14,02:30,195.1041,100478.0,285.047,281.94,73.5667,58.7367,2.72211,31.8513,0.0,11.9,2.44667,297.097,340.787,-34.2367,283.24,276.923,276.653,274.31,272.843,272.15,270.68,0.195033,0.6208,0.616233
2015-07-14,03:00,195.1249,100485.0,284.217,282.203,70.9567,60.35,3.19693,47.8453,0.0,19.1067,4.46667,294.663,338.713,-29.4133,282.477,276.407,276.57,274.31,272.847,272.15,270.68,0.195133,0.620933,0.6163
2015-07-14,03:30,195.1458,100476.0,284.003,282.383,66.91,57.6967,3.33231,53.8776,0.0,33.3767,8.35,294.737,340.847,-21.0833,281.827,276.34,276.473,274.3,272.847,272.15,270.68,0.1952,0.621033,0.616233
2015-07-14,04:00,195.1666,100474.0,284.17,283.01,63.2,56.6167,3.48584,81.9698,0.0,48.9233,12.18,294.04,345.603,-14.82,281.357,276.787,276.387,274.29,272.84,272.147,270.68,0.1953,0.6211,0.6162
2015-07-14,04:30,195.1874,100460.0,284.29,283.64,60.7733,56.4167,4.14588,80.45,0.0,69.6367,17.4767,292.78,353.947,-9.00667,281.08,277.73,276.313,274.283,272.843,272.15,270.68,0.1953,0.6212,0.616267
2015-07-14,05:00,195.2083,100459.0,284.567,284.257,59.6433,56.8733,3.6527,80.2767,0.0,98.2033,23.87,291.97,358.037,8.26667,280.933,278.51,276.247,274.273,272.847,272.15,270.68,0.195233,0.6212,0.616167
2015-07-14,05:30,195.2291,100470.0,285.333,285.273,62.1333,59.8767,2.68336,92.1058,0.0,129.373,30.9833,291.947,361.983,28.3567,280.827,278.903,276.187,274.263,272.847,272.15,270.69,0.195133,0.621233,0.6161
2015-07-14,06:00,195.2499,100481.0,285.76,285.84,61.3233,59.7733,3.05984,92.6659,0.0,165.85,38.5933,293.163,368.18,52.2433,280.833,279.537,276.133,274.247,272.85,272.15,270.68,0.195033,0.621333,0.616267
2015-07-14,06:30,195.2707,100481.0,286.353,286.51,60.4733,59.16,2.62699,92.1657,0.0,207.397,46.8667,294.46,374.863,80.1333,280.963,280.21,276.09,274.233,272.85,272.15,270.69,0.1949,0.6214,0.616133
2015-07-14,07:00,195.2916,100471.0,286.95,287.163,60.04,58.9233,2.4823,80.7844,0.0,268.93,57.5333,300.857,383.597,128.653,281.22,281.077,276.06,274.217,272.85,272.153,270.69,0.194733,0.621467,0.6162
2015-07-14,07:30,195.3124,100458.0,287.617,287.717,60.0867,59.5067,2.16192,65.4443,0.0,287.28,59.8167,298.843,388.273,138.033,281.573,281.783,276.043,274.203,272.85,272.153,270.69,0.194567,0.6215,0.616167
2015-07-14,08:00,195.3332,100457.0,288.28,288.403,59.65,58.8533,2.24973,16.0882,0.0,348.767,70.28,301.073,395.293,184.263,281.983,282.437,276.027,274.187,272.85,272.153,270.69,0.1943,0.6214,0.6162
2015-07-14,08:30,195.3541,100436.0,288.877,289.23,58.6867,58.6467,2.23316,292.029,0.0,402.743,78.3033,305.787,402.123,228.1,282.503,283.343,276.027,274.173,272.85,272.153,270.69,0.194,0.6214,0.616233
2015-07-14,09:00,195.3749,100415.0,289.61,289.96,55.4733,55.49,2.29724,290.277,0.0,455.23,85.7133,307.247,408.7,268.067,283.123,284.45,276.033,274.16,272.85,272.153,270.69,0.1937,0.621333,0.616267
2015-07-14,09:30,195.3957,100402.0,290.487,290.97,50.8067,50.5367,2.66424,341.692,0.0,514.397,94.77,308.64,415.963,312.307,283.853,285.707,276.057,274.153,272.85,272.16,270.69,0.1932,0.621167,0.616033
2015-07-14,10:00,195.4165,100395.0,291.003,291.447,45.3633,44.48,2.91636,12.5633,0.0,540.077,96.96,308.94,419.947,332.11,284.543,286.453,276.08,274.137,272.85,272.16,270.69,0.192567,0.6212,0.6161
2015-07-14,10:30,195.4374,100377.0,291.857,292.173,42.8033,41.85,2.54068,69.9426,0.0,577.257,101.477,311.353,425.207,361.927,285.247,287.297,276.123,274.127,272.85,272.16,270.693,0.191833,0.621,0.616067
2015-07-14,11:00,195.4582,100379.0,292.18,292.73,42.62,41.77,3.63706,352.007,0.0,610.833,104.13,313.623,429.683,390.643,286.037,288.483,276.17,274.12,272.85,272.157,270.697,0.191133,0.620867,0.616033
2015-07-14,11:30,195.479,100364.0,292.62,293.05,40.6133,39.6867,3.20036,331.121,0.0,641.967,108.483,315.68,433.467,415.697,286.853,289.387,276.23,274.113,272.85,272.16,270.7,0.190367,0.6206,0.615833
2015-07-14,12:00,195.4999,100350.0,292.823,293.39,39.9833,39.18,3.65081,321.36,0.0,642.123,107.11,319.067,436.27,417.817,287.683,289.86,276.29,274.11,272.85,272.16,270.7,0.1897,0.620333,0.6158
2015-07-14,12:30,195.5207,100339.0,293.72,294.387,37.4267,36.58,4.0099,323.149,0.0,681.38,113.063,322.7,442.567,448.447,288.493,290.427,276.363,274.11,272.86,272.16,270.7,0.189,0.620033,0.6158
