file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--
B20151942330.slt,2015-07-14,00:00,195.0,1,36000,36000,-0.0289922,1,-32.234,1,9.67004,1,0.892386,1,0.217724,1,0.0375296,1,-3.37073,0.837923,0.136011,0.0188661,-0.000530766,-2.72535e-11,-6.85245e-13,-1.35622e-13,16.2836,388.012,391.834,4.4,0,409.424,9.75589,9.85201,4.25,0,0.0810325,1.93087,1.94989,4.3,0,288.878,288.093,100519.0,1.21107,1010.73,0.0238283,0.0141085,0.00737782,980.919,1693.94,0.00609199,57.9077,713.017,279.849,-2.5101,-0.585121,0.111618,2.57981,-4.03475e-14,-1.67368e-15,2.57981,4.16532,257.13,193.122,2.47974,-9999,0.154723,0.175188,10.0599,0.462669,-3.33339,-0.170199,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0282788,1.02523,-30.2989,1.05367,6.41447,1.50754,0.617905,1.44421,0.144424,1.50754,0.0255165,1.4708,800000009,800000009,800000009,800000009,800000009,800000009,800000019,800000019,80000,80000,80,80,0,0,0,0,0,0,0,0.154176,0.161103,0.0350963,0.131101,1.84406,0.0518377,0.000290273,-0.0247527,0.0147237,0.00344138,0.000608015
B20151950000.slt,2015-07-14,00:30,195.021,1,36000,36000,-0.00931548,1,-12.2061,1,3.42804,2,0.604178,4,0.0771373,2,0.0184541,2,-2.15912,0.172904,0.244675,0.00389068,0.00202392,2.78371e-11,6.98568e-13,1.39009e-13,16.4049,390.061,393.917,4.35,0,411.678,9.78848,9.88524,4.45,0,0.0819201,1.94782,1.96707,4.2,0,288.209,287.473,100519.0,1.21367,1010.73,0.0237771,0.0049985,0.00741843,984.195,1627.47,0.00611241,60.4741,643.271,279.897,-2.15345,-0.843083,0.105073,2.31499,6.30023e-14,1.69688e-15,2.31499,3.6236,248.41,201.381,2.60144,-9999,0.0876099,0.100604,4.82301,0.96504,-3.56067,-0.113577,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00897551,1.03788,-11.2392,1.07864,1.8597,1.84333,0.352406,1.71444,0.0418468,1.84333,0.0104889,1.75939,800000009,800000009,800000009,800000009,800000009,800100009,811100019,811110019,80000,80000,80,80,0,1,16,0,0,0,0,0.0546129,0.135861,0.0107344,0.239657,2.89497,0.057377,0.00033076,-0.00916223,0.00837918,0.000994993,0.000249396
B20151950030.slt,2015-07-14,01:00,195.042,1,36000,36000,-0.00566585,5,-5.43089,5,-1.25368,5,0.238823,5,-0.0281742,5,0.00685351,5,-4.64043,-2.33163,0.321738,-0.0523993,0.00243197,-9.89163e-12,-2.35529e-13,-4.95685e-14,16.5923,392.743,396.451,3.95,0,395.078,9.35158,9.43986,41.3,0,0.0831465,1.9681,1.98668,4.3,0,287.159,286.147,100507.0,1.21935,1010.46,0.0236702,-0.00182569,0.0071193,940.151,1492.88,0.00583863,62.9757,552.729,279.233,-1.82392,-0.854403,0.0877719,2.01604,5.24135e-15,-5.96158e-16,2.01604,3.06707,245.562,205.1,2.49527,-9999,0.0681662,0.0941708,5.10497,0.911739,4.33197,-0.0646625,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00548303,1.03334,-5.13493,1.06948,-0.694009,1.80643,0.142666,1.674,-0.0155966,1.80643,0.0040045,1.71145,800000009,800000009,800000009,800000009,800000009,800000009,801100019,811100019,80000,80000,80,80,0,0,3,0,0,0,0,0.140495,0.0422882,0.00555796,0.0913339,2.08297,0.046451,0.000547186,-0.00416761,0.00337695,-0.000369176,9.47874e-05
B20151950100.slt,2015-07-14,01:30,195.062,1,36000,36000,-0.0223921,5,8.72273,7,-7.19669,6,-2.7068,7,-0.161504,6,-0.123917,7,-5.19143,0.156195,0.759138,0.00350524,0.0367893,-5.46563e-11,-1.28486e-12,-3.11368e-13,16.9447,399.041,402.819,9.95,0,398.336,9.38066,9.46949,2.55,0,0.0965313,2.27328,2.2948,5.6,0,285.935,284.67,100500.0,1.22558,1010.45,0.0235496,-0.0104655,0.00717801,943.012,1354.67,0.00585684,69.6118,411.66,279.277,0.735264,-0.167787,0.00716792,0.7542,-7.16357e-15,-3.22557e-15,0.7542,2.60469,116.367,347.145,0.544547,-9999,0.135169,0.365143,-24.7803,-0.187827,-1.21205,0.0521096,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0223351,1.00255,8.29609,1.00721,-6.52779,1.10247,-2.4711,1.09538,-0.146493,1.10247,-0.113023,1.09639,800000009,800000009,800000009,800000009,800000009,800101019,801110019,811110019,80000,80000,80,81,0,0,10,3,29,0,0,0.554818,0.156784,0.0186828,1.27789,35.0052,0.0537062,0.0652818,0.00669912,-0.0581935,-0.00344986,-0.00266165
B20151950130.slt,2015-07-14,02:00,195.083,1,36000,36000,-0.00418131,5,2.99116,6,-1.0336,5,-0.179471,5,-0.0232026,5,-0.00955106,5,1.12348,-1.99377,-0.380827,-0.0447567,-0.0166352,8.9645e-11,2.04004e-12,4.83487e-13,16.7885,395.878,399.476,4.1,1,382.053,9.0089,9.0908,5.25,0,0.0905462,2.1351,2.15451,4.1,1,286.102,284.99,100483.0,1.22416,1010.25,0.0235803,-0.00150353,0.00688459,905.481,1383.63,0.00562394,65.4426,478.146,278.69,-0.0998275,-0.471993,0.0206125,0.482875,7.84554e-14,5.33967e-15,0.482875,1.28476,187.441,258.058,2.44653,-9999,0.0584437,0.0819581,-5.8401,-0.796973,-2.89393,0.0413841,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00417181,1.00228,2.91977,1.00643,-1.0172,1.01612,-0.177089,1.01345,-0.0228345,1.01612,-0.00941873,1.01405,800000009,800010009,800000009,800000009,800010019,800011019,811110019,811110019,80000,80000,80,81,0,0,2,0,37,0,7,0.0313633,0.129684,0.00286904,0.153617,4.22853,0.0473637,0.00895026,0.00236092,-0.00417581,-0.000538442,-0.000222096
B20151950200.slt,2015-07-14,02:30,195.104,1,36000,36000,-0.00241991,7,-3.6864,2,1.23639,1,0.405889,4,0.0277564,1,0.0203535,4,0.198889,-1.93482,-0.0654415,-0.0434359,-0.0102482,-1.22845e-10,-2.68726e-12,-6.36998e-13,16.7614,395.334,398.783,4.5,0,366.659,8.64803,8.72347,15.65,0,0.0869141,2.04996,2.06784,4.3,0,285.959,285.047,100478.0,1.22402,1010.06,0.023586,0.00179861,0.00660719,869.17,1388.81,0.00539792,62.5837,519.642,278.102,-0.538593,-0.682487,0.0267325,0.869819,-9.84033e-15,-7.32905e-15,0.869819,2.05477,212.453,231.721,1.76117,-9999,0.0444636,0.131139,2.08649,2.23073,-2.98158,-0.06706,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00232547,1.04061,-3.36887,1.08344,0.719774,1.71775,0.24867,1.63224,0.0161586,1.71775,0.0122813,1.65728,800000009,800010009,800000009,800000009,800000009,800000009,811100019,811110019,80000,80000,80,81,0,0,2,0,0,0,0,0.207466,0.050688,0.00412411,0.0528421,3.63524,0.0599569,0.00327017,-0.00272489,0.00586513,0.000381117,0.000289667
B20151950230.slt,2015-07-14,03:00,195.125,1,36000,36000,-0.00265318,1,-3.25669,4,-3.16468,4,0.876764,4,-0.0709891,4,0.0496238,4,-2.92169,-1.20868,0.69473,-0.0271128,0.0272854,-3.41907e-11,-7.18054e-13,-1.94015e-13,17.0562,401.089,404.496,4.6,0,358.205,8.42344,8.495,2.55,0,0.0967853,2.27598,2.29531,4.65,0,285.136,284.217,100485.0,1.22779,1009.91,0.0235157,-0.00460009,0.00645485,846.656,1314.57,0.00525729,64.4058,467.909,277.726,-1.10971,-0.995351,0.0494867,1.49152,-2.44438e-14,-2.00459e-15,1.49152,2.522,227.612,221.89,1.90135,-9999,0.0464859,0.0433043,2.69893,1.72454,1.02907,-0.0564998,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00254084,1.04421,-3.08717,1.09089,-1.57572,2.0084,0.478314,1.83303,-0.035346,2.0084,0.0264451,1.87649,800000009,800000009,800000009,800000009,800000009,800100019,801110019,811110019,80000,80000,80,80,0,0,6,0,0,0,0,0.0349619,0.047298,0.00434873,0.124938,6.17468,0.0527079,0.0173731,-0.00248973,0.0112479,-0.000831186,0.000621877
B20151950300.slt,2015-07-14,03:30,195.146,1,36000,36000,-0.00749338,5,-14.383,5,10.4562,5,4.9869,5,0.234503,5,0.291339,5,-0.751388,-2.71514,-0.0248619,-0.0608927,-0.00546311,6.59675e-12,1.30318e-13,3.67083e-14,17.0587,400.883,404.083,4.1,1,336.992,7.91937,7.98259,4.35,0,0.0949249,2.23075,2.24856,4.2,0,285.022,284.003,100476.0,1.22884,1009.63,0.0235002,0.0151958,0.0060726,795.92,1296.06,0.00494175,61.411,500.135,276.846,-1.44213,-1.05486,0.0746981,1.7883,-6.26071e-14,3.86709e-16,1.7883,2.89845,234.054,216.184,2.39396,-9999,0.0780894,0.0683543,2.89644,1.60694,-1.37554,-0.148457,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00717039,1.04504,-12.8884,1.09263,5.18817,2.0154,2.6783,1.86197,0.116356,2.0154,0.152406,1.9116,800000009,800000009,800000009,800000009,800000009,800100009,811110019,811110019,80000,80000,80,80,0,0,36,0,0,0,1,0.0618905,0.0679838,0.00683413,0.264396,17.5783,0.0857201,0.0447496,-0.0103882,0.0629406,0.00273438,0.00358156
B20151950330.slt,2015-07-14,04:00,195.167,1,36000,36000,-0.0111002,5,-16.4079,1,8.00874,1,-0.45388,4,0.179641,1,0.0610471,1,0.586659,-0.396033,-0.720578,-0.00888329,-0.0298637,1.93028e-10,3.8349e-12,9.69448e-13,16.7945,394.914,398.037,8.8,0,333.658,7.84579,7.90784,4.15,0,0.0843475,1.98339,1.99908,4.25,0,284.861,284.17,100474.0,1.22812,1009.6,0.0235145,0.0116408,0.00601251,788.507,1310.5,0.0048957,60.1686,521.989,276.713,-1.96548,-0.254846,0.0873768,1.98385,-3.838e-15,1.14935e-14,1.98385,3.6213,261.762,187.388,2.52435,-9999,0.0950704,0.159897,4.58153,1.01591,-2.04875,-0.139193,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0107254,1.03495,-15.0862,1.07266,4.18156,1.91525,-0.252323,1.79881,0.0937953,1.91525,0.0331707,1.84039,800000009,800000009,800000009,800000009,800000009,800100019,800000019,801000019,80000,80000,80,81,0,0,25,0,0,0,3,0.208505,0.0937376,0.0175517,0.0962029,2.44697,0.0420107,0.00214113,-0.0121672,-0.00593325,0.00220555,0.000779992
